BPA Balancing Authority Load & Total Wind Generation
at 5-minute intervals, last 7 days
Dates: 04May2026 - 11May2026 (last updated 10May2026 20:31:24) Pacific Time
Based on 5-min MW readings from the BPA SCADA system for points 45583, 177167, 79682, 164377, 70681

This represents loads and resources in BPA's Balancing Authority (BA) including some that are not BPA's.
It does not include BPA loads served by transfer, scheduled out of region,
or scheduled to customers with their own BAs such as Seattle and Tacoma

BPA/Technical Operations (TOT-OpInfo@bpa.gov)

Date/Time       	Load	VER	Hydro	Fossil/Biomass	Nuclear
05/04/2026 00:00	5885	57	7938	102	1148
05/04/2026 00:05	5888	58	7783	101	1149
05/04/2026 00:10	5850	60	7573	101	1142
05/04/2026 00:15	5839	64	7523	100	1142
05/04/2026 00:20	5832	64	7569	101	1147
05/04/2026 00:25	5788	70	7561	101	1146
05/04/2026 00:30	5791	72	7564	102	1142
05/04/2026 00:35	5755	81	7518	101	1148
05/04/2026 00:40	5746	86	7519	102	1148
05/04/2026 00:45	5759	92	7563	102	1147
05/04/2026 00:50	5715	95	7548	102	1146
05/04/2026 00:55	5701	99	7452	101	1143
05/04/2026 01:00	5654	105	7321	102	1146
05/04/2026 01:05	5651	112	7016	101	1147
05/04/2026 01:10	5641	111	7007	101	1149
05/04/2026 01:15	5605	108	6972	101	1148
05/04/2026 01:20	5620	110	6969	101	1145
05/04/2026 01:25	5602	117	6956	101	1148
05/04/2026 01:30	5589	122	6974	102	1148
05/04/2026 01:35	5577	123	6980	102	1144
05/04/2026 01:40	5560	126	6994	102	1143
05/04/2026 01:45	5536	133	6971	101	1150
05/04/2026 01:50	5531	138	6959	101	1148
05/04/2026 01:55	5529	136	6968	102	1148
05/04/2026 02:00	5510	144	6863	101	1143
05/04/2026 02:05	5492	142	6836	101	1148
05/04/2026 02:10	5501	145	6851	102	1143
05/04/2026 02:15	5463	152	6819	101	1145
05/04/2026 02:20	5459	157	6727	102	1149
05/04/2026 02:25	5462	159	6793	101	1149
05/04/2026 02:30	5459	161	6833	102	1150
05/04/2026 02:35	5495	160	6830	102	1149
05/04/2026 02:40	5452	163	6814	101	1144
05/04/2026 02:45	5457	164	6823	100	1146
05/04/2026 02:50	5446	157	6836	100	1150
05/04/2026 02:55	5442	157	6856	100	1144
05/04/2026 03:00	5441	158	6842	100	1144
05/04/2026 03:05	5430	150	6863	100	1147
05/04/2026 03:10	5443	145	6856	99	1140
05/04/2026 03:15	5424	147	6806	100	1143
05/04/2026 03:20	5450	155	6832	100	1147
05/04/2026 03:25	5442	164	6804	99	1148
05/04/2026 03:30	5408	170	6729	100	1144
05/04/2026 03:35	5416	172	6802	100	1147
05/04/2026 03:40	5428	174	6802	99	1148
05/04/2026 03:45	5418	178	6814	100	1150
05/04/2026 03:50	5420	182	6843	101	1148
05/04/2026 03:55	5428	183	6952	103	1145
05/04/2026 04:00	5430	177	6914	100	1148
05/04/2026 04:05	5468	173	7063	101	1147
05/04/2026 04:10	5462	174	7004	101	1142
05/04/2026 04:15	5502	175	6942	100	1145
05/04/2026 04:20	5469	174	6972	100	1146
05/04/2026 04:25	5489	174	6976	100	1149
05/04/2026 04:30	5520	184	6963	101	1149
05/04/2026 04:35	5543	185	7005	100	1146
05/04/2026 04:40	5535	184	6972	100	1145
05/04/2026 04:45	5548	181	6993	101	1148
05/04/2026 04:50	5588	176	6980	100	1149
05/04/2026 04:55	5589	172	6959	100	1149
05/04/2026 05:00	5607	174	7224	101	1149
05/04/2026 05:05	5671	177	7473	100	1143
05/04/2026 05:10	5733	177	7608	100	1151
05/04/2026 05:15	5766	175	7681	100	1147
05/04/2026 05:20	5795	178	7684	100	1145
05/04/2026 05:25	5809	171	7684	100	1151
05/04/2026 05:30	5824	170	7739	99	1148
05/04/2026 05:35	5873	168	7885	100	1150
05/04/2026 05:40	5872	164	7839	99	1144
05/04/2026 05:45	5909	171	7855	99	1151
05/04/2026 05:50	5936	170	7873	99	1151
05/04/2026 05:55	5929	175	7782	99	1150
05/04/2026 06:00	5981	186	7662	100	1144
05/04/2026 06:05	6052	200	7694	99	1149
05/04/2026 06:10	6103	219	7575	99	1150
05/04/2026 06:15	6128	240	7473	100	1144
05/04/2026 06:20	6147	254	7505	100	1145
05/04/2026 06:25	6183	269	7413	99	1145
05/04/2026 06:30	6235	302	7401	98	1150
05/04/2026 06:35	6282	338	7401	98	1144
05/04/2026 06:40	6292	354	7403	98	1151
05/04/2026 06:45	6304	365	7483	98	1151
05/04/2026 06:50	6351	381	7475	99	1151
05/04/2026 06:55	6376	394	7544	98	1149
05/04/2026 07:00	6399	400	7715	99	1146
05/04/2026 07:05	6466	412	7901	99	1149
05/04/2026 07:10	6449	414	8087	99	1145
05/04/2026 07:15	6475	409	8031	101	1148
05/04/2026 07:20	6518	410	7999	100	1150
