Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast,Demand response
00:00,27482,27283,22998,23068,
00:05,27482,27467,23023,21518,
00:10,27482,27625,23298,21518,
00:15,27482,27366,23221,21518,
00:20,27162,27338,23090,21518,
00:25,27162,27172,23013,21518,
00:30,27162,27006,22839,21518,
00:35,26766,26867,22667,21518,
00:40,26766,26716,22497,21518,
00:45,26766,26521,22317,21518,
00:50,26329,26396,22165,21518,
00:55,26329,26218,22032,21518,
01:00,26329,26054,21890,21518,
01:05,25934,25880,21694,20406,
01:10,25934,25809,21653,20406,
01:15,25934,25684,21555,20406,
01:20,25578,25510,21388,20406,
01:25,25578,25420,21278,20406,
01:30,25578,25272,21130,20406,
01:35,25185,25147,21030,20406,
01:40,25185,25027,20929,20406,
01:45,25185,24939,20851,20406,
01:50,24781,24816,20804,20406,
01:55,24781,24692,20661,20406,
02:00,24781,24529,20507,20406,
02:05,24505,24435,20412,19470,
02:10,24505,24388,20361,19470,
02:15,24505,24304,20350,19470,
02:20,24216,24170,20225,19470,
02:25,24216,24095,20151,19470,
02:30,24216,23990,20093,19470,
02:35,23937,23907,20027,19470,
02:40,23937,23818,19909,19470,
02:45,23937,23755,19853,19470,
02:50,23657,23679,19780,19470,
02:55,23657,23602,19753,19470,
03:00,23657,23552,19698,19470,
03:05,23504,23455,19622,19099,
03:10,23504,23449,19656,19099,
03:15,23504,23410,19675,19099,
03:20,23364,23379,19641,19099,
03:25,23364,23317,19607,19099,
03:30,23364,23246,19596,19099,
03:35,23246,23192,19533,19099,
03:40,23246,23142,19490,19099,
03:45,23246,23092,19472,19099,
03:50,23119,23067,19431,19099,
03:55,23119,23034,19426,19099,
04:00,23119,23011,19406,19099,
04:05,23213,23152,19461,19483,
04:10,23213,23282,19611,19483,
04:15,23213,23302,19670,19483,
04:20,23225,23301,19655,19483,
04:25,23225,23292,19633,19483,
04:30,23225,23304,19661,19483,
04:35,23256,23302,19688,19483,
04:40,23256,23351,19743,19483,
04:45,23256,23360,19805,19483,
04:50,23431,23380,19843,19483,
04:55,23431,23395,19895,19483,
05:00,23431,23436,19980,19483,
05:05,23808,23610,20168,20527,
05:10,23808,23765,20377,20527,
05:15,23808,23866,20482,20527,
05:20,24041,23904,20591,20527,
05:25,24041,23950,20635,20527,
05:30,24041,24086,20768,20527,
05:35,24181,24114,20853,20527,
05:40,24181,24214,20931,20527,
05:45,24181,24149,20957,20527,
05:50,24188,24236,21005,20527,
05:55,24188,24176,20984,20527,
06:00,24188,24181,20843,20527,
06:05,24609,24426,20727,17445,
06:10,24609,24644,20706,17445,
06:15,24609,24694,20350,17445,
06:20,24780,24749,19922,17445,
06:25,24780,24783,19329,17445,
06:30,24780,24820,18739,17445,
06:35,24972,24895,18168,17445,
06:40,24972,25006,17542,17445,
06:45,24972,25029,16801,17445,
06:50,24992,25056,16135,17445,
06:55,24992,25192,15406,17445,
07:00,24992,25287,14582,17445,
07:05,25345,25492,13933,9245,
07:10,25345,25750,13108,9245,
07:15,25345,25719,12390,9245,
07:20,25433,25498,11514,9245,
07:25,25433,,,9245,
07:30,25433,,,9245,
07:35,25415,,,9245,
07:40,25415,,,9245,
07:45,25415,,,9245,
07:50,25224,,,9245,
07:55,25224,,,9245,
08:00,25224,,,9245,
08:05,25217,,,4687,
08:10,25217,,,4687,
08:15,25217,,,4687,
08:20,25039,,,4687,
08:25,25039,,,4687,
08:30,25039,,,4687,
08:35,24761,,,4687,
08:40,24761,,,4687,
08:45,24761,,,4687,
08:50,24546,,,4687,
08:55,24546,,,4687,
09:00,24546,,,4687,
09:05,24505,,,2833,
09:10,24505,,,2833,
09:15,24505,,,2833,
09:20,24223,,,2833,
09:25,24223,,,2833,
09:30,24223,,,2833,
09:35,23951,,,2833,
09:40,23951,,,2833,
09:45,23951,,,2833,
09:50,23719,,,2833,
09:55,23719,,,2833,
10:00,23719,,,2833,
10:05,23694,,,1631,
10:10,23694,,,1631,
10:15,23694,,,1631,
10:20,23512,,,1631,
10:25,23512,,,1631,
10:30,23512,,,1631,
10:35,23373,,,1631,
10:40,23373,,,1631,
10:45,23373,,,1631,
10:50,23309,,,1631,
10:55,23309,,,1631,
11:00,23309,,,1631,
11:05,23358,,,990,
11:10,23358,,,990,
11:15,23358,,,990,
11:20,23313,,,990,
11:25,23313,,,990,
11:30,23313,,,990,
11:35,23339,,,990,
11:40,23339,,,990,
11:45,23339,,,990,
11:50,23475,,,990,
11:55,23475,,,990,
12:00,23475,,,990,
12:05,23697,,,1418,
12:10,23697,,,1418,
12:15,23697,,,1418,
12:20,23869,,,1418,
12:25,23869,,,1418,
12:30,23869,,,1418,
12:35,24115,,,1418,
12:40,24115,,,1418,
12:45,24115,,,1418,
12:50,24436,,,1418,
12:55,24436,,,1418,
13:00,24436,,,1418,
13:05,24780,,,2156,
13:10,24780,,,2156,
13:15,24780,,,2156,
13:20,25118,,,2156,
13:25,25118,,,2156,
13:30,25118,,,2156,
13:35,25470,,,2156,
13:40,25470,,,2156,
13:45,25470,,,2156,
13:50,25914,,,2156,
13:55,25914,,,2156,
14:00,25914,,,2156,
14:05,26250,,,3399,
14:10,26250,,,3399,
14:15,26250,,,3399,
14:20,26681,,,3399,
14:25,26681,,,3399,
14:30,26681,,,3399,
14:35,27134,,,3399,
14:40,27134,,,3399,
14:45,27134,,,3399,
14:50,27666,,,3399,
14:55,27666,,,3399,
15:00,27666,,,3399,
15:05,28193,,,5306,
15:10,28193,,,5306,
15:15,28193,,,5306,
15:20,28685,,,5306,
15:25,28685,,,5306,
15:30,28685,,,5306,
15:35,29197,,,5306,
15:40,29197,,,5306,
15:45,29197,,,5306,
15:50,29701,,,5306,
15:55,29701,,,5306,
16:00,29701,,,5306,
16:05,30126,,,7586,
16:10,30126,,,7586,
16:15,30126,,,7586,
16:20,30646,,,7586,
