date	daily_prior	mon_prior	daily_current	mon_current	record_max	record_mean	record_min
01-01	183.252	183.217	183.280	183.260	183.710	183.330	182.830
01-02	183.256	183.217	183.281	183.260	183.710	183.330	182.830
01-03	183.283	183.217	183.276	183.260	183.710	183.330	182.830
01-04	183.280	183.217	183.248	183.260	183.710	183.330	182.830
01-05	183.292	183.217	183.249	183.260	183.710	183.330	182.830
01-06	183.284	183.217	183.256	183.260	183.710	183.330	182.830
01-07	183.257	183.217	183.240	183.260	183.710	183.330	182.830
01-08	183.229	183.217	183.254	183.260	183.710	183.330	182.830
01-09	183.188	183.217	183.279	183.260	183.710	183.330	182.830
01-10	183.209	183.217	183.270	183.260	183.710	183.330	182.830
01-11	183.214	183.217	183.269	183.260	183.710	183.330	182.830
01-12	183.206	183.217	183.245	183.260	183.710	183.330	182.830
01-13	183.211	183.217	183.256	183.260	183.710	183.330	182.830
01-14	183.249	183.217	183.344	183.260	183.710	183.330	182.830
01-15	183.201	183.217	183.259	183.260	183.710	183.330	182.830
01-16	183.219	183.217	183.240	183.260	183.710	183.330	182.830
01-17	183.188	183.217	183.268	183.260	183.710	183.330	182.830
01-18	183.245	183.217	183.262	183.260	183.710	183.330	182.830
01-19	183.224	183.217	183.307	183.260	183.710	183.330	182.830
01-20	183.210	183.217	183.240	183.260	183.710	183.330	182.830
01-21	183.176	183.217	183.232	183.260	183.710	183.330	182.830
01-22	183.167	183.217	183.265	183.260	183.710	183.330	182.830
01-23	183.218	183.217	183.282	183.260	183.710	183.330	182.830
01-24	183.174	183.217	183.244	183.260	183.710	183.330	182.830
01-25	183.169	183.217	183.241	183.260	183.710	183.330	182.830
01-26	183.180	183.217	183.226	183.260	183.710	183.330	182.830
01-27	183.189	183.217	183.242	183.260	183.710	183.330	182.830
01-28	183.182	183.217	183.261	183.260	183.710	183.330	182.830
01-29	183.213	183.217	183.255	183.260	183.710	183.330	182.830
01-30	183.171	183.217	183.264	183.260	183.710	183.330	182.830
01-31	183.191	183.217	183.225	183.260	183.710	183.330	182.830
02-01	183.163	183.140	183.184	183.200	183.640	183.270	182.760
02-02	183.136	183.140	183.216	183.200	183.640	183.270	182.760
02-03	183.170	183.140	183.222	183.200	183.640	183.270	182.760
02-04	183.185	183.140	183.195	183.200	183.640	183.270	182.760
02-05	183.150	183.140	183.188	183.200	183.640	183.270	182.760
02-06	183.138	183.140	183.264	183.200	183.640	183.270	182.760
02-07	183.154	183.140	183.229	183.200	183.640	183.270	182.760
02-08	183.159	183.140	183.168	183.200	183.640	183.270	182.760
02-09	183.149	183.140	183.163	183.200	183.640	183.270	182.760
02-10	183.149	183.140	183.192	183.200	183.640	183.270	182.760
02-11	183.150	183.140	183.211	183.200	183.640	183.270	182.760
02-12	183.136	183.140	183.188	183.200	183.640	183.270	182.760
02-13	183.147	183.140	183.176	183.200	183.640	183.270	182.760
02-14	183.122	183.140	183.169	183.200	183.640	183.270	182.760
02-15	183.148	183.140	183.181	183.200	183.640	183.270	182.760
