"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/10/2026 00:05:00","CAPITL",61757,26.47,1.04,0.00
"05/10/2026 00:05:00","CENTRL",61754,25.13,-0.30,0.00
"05/10/2026 00:05:00","DUNWOD",61760,27.24,1.81,0.00
"05/10/2026 00:05:00","GENESE",61753,24.46,-0.97,0.00
"05/10/2026 00:05:00","H Q",61844,25.28,-0.15,0.00
"05/10/2026 00:05:00","HUD VL",61758,27.01,1.58,0.00
"05/10/2026 00:05:00","LONGIL",61762,45.89,2.06,-18.41
"05/10/2026 00:05:00","MHK VL",61756,25.84,0.41,0.00
"05/10/2026 00:05:00","MILLWD",61759,27.11,1.68,0.00
"05/10/2026 00:05:00","N.Y.C.",61761,27.31,1.88,0.00
"05/10/2026 00:05:00","NORTH",61755,25.13,-0.30,0.00
"05/10/2026 00:05:00","NPX",61845,26.50,1.07,0.00
"05/10/2026 00:05:00","O H",61846,23.70,-1.73,0.00
"05/10/2026 00:05:00","PJM",61847,25.51,0.08,0.00
"05/10/2026 00:05:00","WEST",61752,23.93,-1.50,0.00
"05/10/2026 00:10:00","CAPITL",61757,27.07,1.04,0.00
"05/10/2026 00:10:00","CENTRL",61754,25.79,-0.23,0.00
"05/10/2026 00:10:00","DUNWOD",61760,27.80,1.77,0.00
"05/10/2026 00:10:00","GENESE",61753,25.20,-0.83,0.00
"05/10/2026 00:10:00","H Q",61844,25.87,-0.16,0.00
"05/10/2026 00:10:00","HUD VL",61758,27.56,1.54,0.00
"05/10/2026 00:10:00","LONGIL",61762,46.61,2.00,-18.57
"05/10/2026 00:10:00","MHK VL",61756,26.47,0.44,0.00
"05/10/2026 00:10:00","MILLWD",61759,27.67,1.64,0.00
"05/10/2026 00:10:00","N.Y.C.",61761,27.88,1.85,0.00
"05/10/2026 00:10:00","NORTH",61755,25.69,-0.34,0.00
"05/10/2026 00:10:00","NPX",61845,27.07,1.04,0.00
"05/10/2026 00:10:00","O H",61846,24.49,-1.54,0.00
"05/10/2026 00:10:00","PJM",61847,26.13,0.10,0.00
"05/10/2026 00:10:00","WEST",61752,24.70,-1.33,0.00
"05/10/2026 00:15:00","CAPITL",61757,27.56,1.03,0.00
