end_week,lineage,abundance
2023-07-08,BA.2,0
2023-07-08,BA.2.86,0
2023-07-08,BA.3.2,0
2023-07-08,BA.4,0
2023-07-08,BA.5,0
2023-07-08,BQ.1,0
2023-07-08,EG.5,0
2023-07-08,FL.1.5.1,0
2023-07-08,HV.1,0
2023-07-08,JN.1,0
2023-07-08,JN.1.11,0
2023-07-08,JN.1.13,0
2023-07-08,JN.1.16,0
2023-07-08,JN.1.18,0
2023-07-08,KP.1,0
2023-07-08,KP.2,0
2023-07-08,KP.3,0
2023-07-08,LF.7,0
2023-07-08,LP.8.1,0
2023-07-08,MC.10.1,0
2023-07-08,NB.1.8.1,0
2023-07-08,Other,0.0063903182733811978
2023-07-08,XBB,0.1286383144631861
2023-07-08,XBB.1.16,0.20405525257411103
2023-07-08,XBB.1.5,0.41105402517553469
2023-07-08,XBB.1.9,0.17914284309329856
2023-07-08,XBB.2.3,0.0707192464204884
2023-07-08,XEC,0
2023-07-08,XFG,0
2023-07-15,BA.2,0
2023-07-15,BA.2.86,0
2023-07-15,BA.3.2,0
2023-07-15,BA.4,0
2023-07-15,BA.5,0
2023-07-15,BQ.1,0
2023-07-15,EG.5,0.0043217711353374134
2023-07-15,FL.1.5.1,0
2023-07-15,HV.1,0
2023-07-15,JN.1,0
2023-07-15,JN.1.11,0
2023-07-15,JN.1.13,0
2023-07-15,JN.1.16,0
2023-07-15,JN.1.18,0
2023-07-15,KP.1,0
2023-07-15,KP.2,0
2023-07-15,KP.3,0
2023-07-15,LF.7,0
2023-07-15,LP.8.1,0
2023-07-15,MC.10.1,0
2023-07-15,NB.1.8.1,0
